death_indicators,name,ticker
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",0Xbitcoincash,0XBCH
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",1coin,ONE
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",1Credit,1CR
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",2Chcoin,2CH
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",300Cubits,TEU
"Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges",3D Coin,3DC
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",4New,KWATT
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",66Coin,66
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",8Coin,N/A
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Abulaba,AAA
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Accolade,ACCO
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges",Achievecoin,ACH
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Acros,ACRO
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Actinium,ACM
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Adcoin,
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Add Token,ADD
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges",Adhive,
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Adrenaline Coin,ADN
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Aegeus,AEG
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Aerocoin,N/A
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Aetrernum,AET
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Agora Platform Stake,
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",Agrolot,AGLT
"Inactive Development,Low Volume,Not Listed on exchanges",Aidcoin,AID
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Aiden,ADN
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Aigang,
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Aiotoken,AIO
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Aircoin,AIR
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Airfio,ARF
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Airporn,XXX
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Akroma,AKA
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Aladin Coin,AIC
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Alax,ALX
"Inactive Development,Inactive Twitter,Low Volume,Website Down",Alchemy,ACOIN
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges",Alcohoin,ALC
"Low Volume,Not Listed on exchanges",Alias,ALIAS
"Inactive Development,Inactive Twitter,Low Volume,Not indexed,Not Listed on exchanges,Website Down",Alicoin,ALI
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges,Website Down",Aliencoin,ALN
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",All For One Business,AFO
"Inactive Development,Inactive Twitter,Low Volume,Not Listed on exchanges",All.Me,ME
